                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4455,                 1.1232,                 1.1247,                0.69281,                 0.2381,                0.29818,                0.15496,                 2.2072,                 2.4185,                 1.6615,              0.0017728,              0.0017728,              0.0017728
                     35,                 1.4948,                 1.1403,                 1.1568,                0.50337,                0.38095,                0.32514,                0.16082,                 2.1372,                 2.2979,                 1.6231,              0.0017594,              0.0017594,              0.0017594
                     36,                 1.4534,                   1.09,                 1.1629,                0.66899,                0.34921,                0.36238,                0.18923,                 2.2408,                 2.1049,                  1.656,              0.0017457,              0.0017457,              0.0017457
                     37,                 1.4093,                 1.0503,                   1.15,                0.61716,                0.36508,                0.36975,                0.18707,                 2.1311,                 2.1641,                 1.6563,              0.0017317,              0.0017317,              0.0017317
                     38,                 1.3682,                 1.0584,                 1.1217,                0.58187,                 0.2872,                0.32073,                0.15706,                 2.1774,                 2.3148,                 1.6381,              0.0017173,              0.0017173,              0.0017173
                     39,                 1.4692,                 1.0365,                 1.1161,                0.43827,                0.44444,                0.36491,                0.16347,                  2.274,                 2.0869,                 1.6376,              0.0017027,              0.0017027,              0.0017027
                     40,                 1.4143,                 1.0635,                 1.1109,                0.52603,                0.42857,                 0.3295,                0.14636,                 2.2479,                 2.0532,                 1.6846,              0.0016877,              0.0016877,              0.0016877
                     41,                 1.4155,                 1.0226,                 1.1075,                 0.4568,                0.34921,                0.31141,                0.15171,                 2.1484,                 2.0883,                  1.583,              0.0016724,              0.0016724,              0.0016724
                     42,                 1.3509,                0.96945,                 1.0956,                 0.3885,                0.36508,                0.28686,                0.15279,                 2.1474,                 2.0461,                 1.6139,              0.0016569,              0.0016569,              0.0016569
                     43,                 1.3098,                0.94145,                 1.0863,                0.69516,                0.31746,                  0.334,                0.16889,                 2.1431,                 2.2958,                   1.56,               0.001641,               0.001641,               0.001641
                     44,                 1.4015,                 1.0165,                 1.1168,                0.52739,                0.34921,                0.32594,                0.17135,                 2.0457,                 2.2502,                 1.4647,              0.0016249,              0.0016249,              0.0016249
